month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba
1,Switzerland,0.11021243846835203,0.8050086050264879,0.7749875765697063,0.834280148877316,1.007525822535223,0.06245724029832165,0.05082658631073696,0.07591644154345785,1.0076591525133392,14.00577254781841,13.035761015981109,15.000407387911004,1.0000057510276035,0.18075538516857387,0.1693841259000041,0.19229481835797022,1.0000369616480984,0.576,0.06348236455777077
2,Switzerland,0.1312052320149486,0.9896858653348034,0.9597305840038934,1.018727792981064,1.0047282387946468,0.23321733193066926,0.16512796368610097,0.3248930514373238,1.000948976998452,13.997657939373198,13.040972024649182,15.006372327688366,1.0007593473133458,0.1806602246185626,0.169445745628646,0.19236340722780357,1.000753061428397,0.576,0.07557421364061039
3,Switzerland,0.1165240004334164,0.9711343620150883,0.9442298715413913,0.99673499505643,1.0008452795672362,0.1664588038460704,0.1268017669577342,0.21925252721643526,1.0018619210891424,14.008297767688717,12.999539842285508,14.927984208836607,1.0010885417643436,0.18078492389831713,0.16895568799714206,0.1914615834324461,1.00107339478994,0.576,0.06711782424964784
4,Switzerland,0.12875204265932744,0.9450664318166966,0.9195736728995044,0.9688053562021294,0.9997491245526108,0.20623619391668305,0.16052870980563289,0.26509191352131656,1.0018449281321893,14.012891643109574,13.06219924875957,14.939294898639064,0.9990360205597703,0.18083855329184265,0.16969670784360266,0.19159177033761504,0.9990330958235515,0.576,0.0741611765717726
5,Switzerland,0.17024585751031884,0.931612995225068,0.9050459414981207,0.9566305491609922,1.0007407338230536,0.23045071516473573,0.17521968805068652,0.2993629936853861,0.9987727512735928,13.969296604139755,13.04549604023274,14.9248133801702,1.001938656223156,0.18033003248017615,0.1694992379345431,0.1914250830291523,1.0019376070549293,0.576,0.09806161392594365
6,Switzerland,0.21487603305785125,0.9815238955826977,0.9423184330579639,1.0205993156934854,1.0044774198923645,0.16396932127556613,0.11362229325036145,0.2337718576476994,1.0023860198653423,13.987831275433463,13.037080202219702,14.918570780181874,1.0037289921992425,0.18054793748404302,0.16939972568375197,0.1913532180156879,1.0037154483856028,0.576,0.1237685950413223
7,Switzerland,0.338152261587144,0.8903470289848741,0.8585170309872366,0.9204664171014733,1.0029675519945838,0.16663026198548478,0.13452548129529465,0.20414218616597846,1.0044450894320343,13.996061467579038,13.052726520180874,14.98376364681093,1.0005007613014345,0.18064120191289568,0.1695847244279094,0.19210340673465712,1.0005005480898774,0.576,0.19477570267419494
8,Switzerland,0.19261160679769287,0.8159617259393854,0.7936834644547521,0.8380169420500818,1.0061490950538232,0.10142349930374565,0.08710419418421347,0.11668086615872898,1.0040211395361514,13.986630898520314,13.035240793638351,15.005450456783235,1.0027051281516262,0.180531356672114,0.16937797418841807,0.1923528073178833,1.0026954821348806,0.576,0.11094428551547109
9,Switzerland,0.15669649049798862,0.9335310704775426,0.9114650356831168,0.9560008652088874,1.004669811501302,0.093661101576486,0.07596003157561856,0.11379303480406319,1.0086361606308392,13.997593768398609,13.089300872370336,14.965358030330561,1.0039462439749625,0.1806610480821929,0.17001701132052394,0.1918916797798101,1.003954984621198,0.35,0.054843771674296014
10,Switzerland,0.25492631697814916,0.9546109400634678,0.93194114294551,0.9762106263303845,1.0047838556829585,0.1452192679348488,0.12157061738322082,0.17161689140721678,1.0039763465828477,13.980081841479223,13.001031479791282,14.957691882091865,1.0024098633220089,0.18045565344248743,0.16897333616809315,0.19180347672284603,1.002440045369575,0.35,0.0892242109423522
11,Switzerland,0.097207187702966,0.9326875528904156,0.9109232779147771,0.95545882417444306,1.0044244729289702,0.06317238947344268,0.05295876152115724,0.07496583008107825,1.0015548360352424,14.010126892625534,12.99701913617569,15.034601147180084,1.0059481306200841,0.1808058839601634,0.16892586405045826,0.19268792204337665,1.0059086716193457,0.35,0.0340225156960381
12,Switzerland,0.03298508889019048,0.8879453314493851,0.8655072728090514,0.9121570168971568,1.0043872812977692,0.010634804784547796,0.009015085175944303,0.012657789188405079,1.002693066203262,14.008375439446043,13.078300593564055,14.9729499093115,1.0035039679221782,0.18078660617257533,0.16988701834357936,0.19197901882068216,1.0034849145193014,0.35,0.011544781111566668
1,Denmark,0.4610059559075743,1.0897581635951283,1.0697901504243077,1.1096204093009296,1.0040882502667106,0.37713933364375224,0.32129026987549925,0.44101536903512323,1.000840532222679,13.97918594343503,13.05033230928455,14.925403565267834,1.0028307307175128,0.18044691739713625,0.1695564185045339,0.19143187699152936,1.0028314832740874,0.576,0.2655394306027628
2,Denmark,0.7206751711263223,1.1270059357522615,1.1045458962847237,1.1490757096340893,1.0044336948693962,0.5624598875317155,0.4580328710067333,0.682979811190731,1.002261741510869,13.978167173445293,12.992978808802564,14.962633513224262,1.0053985891189312,0.1804337852838,0.16887805809144507,0.1918603338798435,1.0054105337297123,0.576,0.4151088985687616
3,Denmark,0.8446500444305055,1.0816472867912683,1.0584196132532506,1.1046235466983976,1.000960582945482,0.48997678067820105,0.422043095808196,0.568489370022382,0.9997605143076235,13.986747713629276,12.93289774435355,14.946360773580594,1.0019736351074375,0.18053216408204256,0.16816684256440723,0.1916730886936504,1.0019636322010286,0.576,0.4865184255919711
4,Denmark,0.7160583941605839,1.108949278791734,1.0882319682582327,1.1295230229211344,1.001092277542679,0.5000064973255389,0.42618124860926115,0.5862679764356293,0.999782149035066,14.00486997738601,13.058126874013261,14.970172945368354,0.9996267657772148,0.1807450114304449,0.16964856760559877,0.19194707281995643,0.9996405839068252,0.576,0.4124496350364963
5,Denmark,0.7788510079763067,1.0647591848231373,1.0431701067044734,1.0862812790636664,1.0030524036000104,0.3143317302741143,0.28132971378225907,0.3550717740322421,1.0027727790401348,14.006692760260192,13.042433407395055,14.987610647198597,1.0052981831475918,0.1807656456217951,0.16946302528280735,0.192147653273047,1.0053230263171062,0.576,0.4486181805943526
6,Denmark,0.4361115894609954,1.1494550145257116,1.1259701319080238,1.1728778788469594,1.0032090605518444,0.32447840707674275,0.25495480545849253,0.41121255765480025,1.0015037160318137,14.006468524582074,13.023305646920397,15.025222288996176,1.0027744949712798,0.18076240577878855,0.1692368240589865,0.19258011836824143,1.0028104366401742,0.576,0.25120027552953333
7,Denmark,0.831049268538759,0.9643518487939802,0.9408434221150617,0.9876224573007951,1.0026842443493387,0.24505530741136367,0.22167797514298712,0.2706044529241803,1.0018417310346919,14.004015048132905,12.98166142373315,14.969294985552102,1.0054550930516861,0.18073380969864433,0.16874413392174728,0.19193697277084323,1.0053945030827387,0.576,0.4786843786783252
8,Denmark,0.8218173050427114,0.9395655580266102,0.9206361429613279,0.958447415519221,1.0040698986179695,0.3836248050995967,0.3476070716079803,0.4248014373101641,1.0065671160967316,13.982679111828984,12.995994975849017,14.963745941765639,1.0035571532991496,0.180486257637145,0.16891374613654567,0.19187313262657107,1.0035661194800198,0.576,0.47336676770460173
9,Denmark,0.8594348659003831,1.0446479222965845,1.0239705033371884,1.0665109341953594,0.9998425706255617,0.3334379348942299,0.2889493280521814,0.38453665900350503,1.0015863445610667,13.978734528668907,13.021102506822789,14.918203566443438,1.000472438893936,0.18043982174320694,0.16921076618810682,0.19134899029789496,1.0004773830684746,0.35,0.30080220306513406
10,Denmark,0.7840743499239015,1.0871458778825904,1.0689004230307972,1.1066589391506416,1.0038594213532113,0.31873170161989073,0.2807879715674602,0.359430055250915,1.004117779366199,14.043248542235167,13.099015993798389,15.040646274879334,1.0050391169923747,0.18119229347324345,0.1701318004240723,0.19275739911910314,1.0050696407467046,0.35,0.2744260224733655
11,Denmark,0.4651326206515323,1.0465107178201847,1.029035115723142,1.064001718354679,1.0054879045494658,0.16600967655943444,0.153103169460302,0.18043177127785875,1.0043016603361579,13.996576758128741,12.996000730273245,15.026112607814332,1.0059866947985567,0.1806467061416717,0.16891381429201874,0.1925903526000754,1.005965687133022,0.35,0.1627964172280363
12,Denmark,0.11679548294534178,1.0946791679649044,1.0767114429875901,1.111414150638515,1.002305986315059,0.07205741876442884,0.06442542092611325,0.08064748580072549,1.0013431745719645,14.013122403665246,13.052768799079148,14.926675470427007,1.0024292224934614,0.1808413779018073,0.1695852243271729,0.19144651835299886,1.002424723162189,0.35,0.04087841903086962
1,Germany,0.01421670317554727,0.9608705863269351,0.9324444531699835,0.9910386880123316,1.00542399034938,0.014199604989052391,0.011039636632396287,0.018318501864553385,1.010882518700359,14.01202424785693,13.074353909083863,15.006896330188702,0.9991656788289819,0.18082727768077433,0.16984037434086435,0.1923694323207174,0.9991723460560841,0.576,0.008188821029115226
2,Germany,0.08132398850871185,0.9756719908927775,0.9567503344190418,0.993893297215726,1.0056561830466144,0.08672609956899957,0.07491442071660637,0.10106513726391415,1.0028063963902571,14.001996125173052,12.980910351867415,14.94324648055768,1.0032525223338191,0.1807114690273181,0.1687352453718228,0.19163724864715134,1.0032829519402324,0.576,0.04684261738101802
3,Germany,0.09200952967315362,1.008682823401391,0.991197737086606,1.0259162516383582,1.0017232623268448,0.14548559749979922,0.1293613198803772,0.16437175220320507,1.002507911381843,13.988776958938898,13.030118520801508,14.994207271350632,1.0032866769165796,0.18055695298418736,0.16931739886368244,0.1922235191414387,1.0032876205334078,0.576,0.05299748909173648
4,Germany,0.07326079637891011,1.0084790200623348,0.9924324414606566,1.0247807225003733,1.0083609473671673,0.1413935809128593,0.12542356531005655,0.1591277267358814,1.003687478122014,14.01106326619132,13.02221697176714,15.013204919420959,1.0080554174630978,0.18081749984809126,0.16922394772999605,0.19244196580452858,1.008026570353195,0.576,0.04219821871425222
5,Germany,0.09080554067705826,0.996588442717107,0.9794579123994898,1.0133320322103898,1.000041967486984,0.15855664142603032,0.1401053363475232,0.17991898007554136,1.0024003610203707,14.003090570703087,12.99044827455339,14.956055338719333,1.001125190015517,0.18072453937340813,0.16884811490039,0.19178464604618986,1.001120664091065,0.576,0.052303991429985555
6,Germany,0.16881611360672366,0.9746328991731015,0.9526675556046773,0.9964658153863355,0.9994912293782933,0.22064824037562913,0.1828302916551092,0.26707705395929604,1.0005529654508356,13.999309920445079,13.057089353929786,14.982355909754114,1.0002646695262827,0.18068039976871617,0.16963630194411125,0.19208721492629452,1.0002680637309176,0.576,0.09723808143747283
7,Germany,0.20889322100768176,0.9276900302682904,0.9052249460946931,0.9513236538092265,1.0003774724587733,0.19004559160713433,0.15827887234524354,0.2270526591635273,0.9997274956308982,14.032061321918139,13.082505725440033,15.019909935212333,1.0046151592649823,0.18106168515100096,0.1699367138376573,0.1925190501173064,1.004596942258281,0.576,0.12032249530042469
8,Germany,0.1649893191744647,0.8791709476684304,0.8632323887441417,0.8950651582691106,1.0070564469787733,0.14783123008035734,0.13315211016081827,0.164039859017783,1.0089784332746143,14.032229036008584,13.060616444932013,14.962924753050673,1.0058451987235437,0.1810643371330813,0.1696779977127641,0.19186368449427135,1.0058459821819645,0.576,0.09503384784449165
9,Germany,0.14321756571307928,0.9340073716828757,0.9176723053773851,0.9511085747689505,1.0043793623687174,0.12900873242118321,0.11519168662269681,0.1449988843447309,1.0009900381022234,14.010267262033523,13.02082964650339,15.013358390231547,1.0049790069201958,0.180807095705971,0.16920753884641662,0.1924437302758355,1.0049524629985955,0.35,0.05012614799957774
10,Germany,0.08314871153418064,0.9735406219461533,0.9562155324734909,0.9920769765195679,1.005777416993595,0.07502000505021263,0.0662022185818052,0.0853920298437531,1.0073068340595146,13.965202729986252,12.993129481792888,14.987650156660129,1.0057179881022067,0.18028197885027786,0.16887984094849884,0.192148107467297,1.005741465018141,0.35,0.029102049036963222
11,Germany,0.03756630061481104,0.937856246459105,0.9199773497796566,0.9557796526839729,1.0055303043146246,0.03807263685284283,0.0339499170952301,0.04294208209285172,1.0015488630035096,14.001437457557989,13.048117413620538,15.001048228205432,1.0054418343044094,0.18070417791453974,0.16953023167111536,0.1923021873611566,1.005474249578722,0.35,0.013148205215183863
12,Germany,0.03926731575008058,0.8537160984660548,0.8380827770757414,0.8690100126198548,1.0048372253612634,0.014090806798180089,0.013049778983203846,0.015245525503395896,1.0018309023140293,14.00516158173009,13.033255278081933,14.972501799882282,1.0044158947735848,0.1807485236770931,0.1693544943045328,0.19197386392615326,1.004377402128343,0.35,0.0137435605125282
